No FOGO;MEDIDA;FABRICANTE;MODELO;DOT;SULCO;SIST.REF;TIPO;VIDA;ANOMALIA;ANOMALIA;ANOMALIA
1298;295/80R22.5;Mic;Xze 2+;11;2,0;1;T;1;34;;
2334;295/80R22.5;Mic;Xze2+;11;9,0;1;L;2;32;34;
6187;275/80R22.5;Goo;G667;11;16,0;1;L;1;14;;
6426;295/80R22.5;Pir;Fh75;07;7,0;1;L;2;2;;
7614;295/80R22.5;Mic;Xze2+;08;4,0;1;T;1;32;34;
9936;295/80R22.5;Mic;Xze2+;10;1,0;1;L;1;34;;
10342;295/80R22.5;Bri;M729;08;1,0;1;L;1;34;;
10655;295/80R22.5;Pir;Fr85;10;14,0;1;M;1;41;34;
10879;275/80R22.5;Pir;Fr85;13;3,0;1;L;1;14;;
11013;295/80R22.5;Pir;Tr85;10;6,0;1;T;1;3;5;
11531;295/80R22.5;Pir;Tr85;14;8,0;1;T;1;34;;
11600;295/80R22.5;Pir;Fg85;13;3,0;1;T;1;12;25;
11795;295/80R22.5;Pir;Fr85;11;9,0;1;L;1;12;;
12131;295/80R22.5;Pir;Fr85;11;5,0;1;T;1;41;34;35
12334;295/80R22.5;Mic;Xze2+;11;5,0;1;L;2;32;34;
12340;295/80R22.5;Mic;Xze2+;11;9,0;2;L;2;40;;
12353;295/80R22.5;Mic;Xze 2+;11;9,0;1;T;2;34;8;
12723;295/80R22.5;Mic;Xze2+;11;8,0;1;L;2;40;;
12807;295/80R22.5;Pir;Fg85;11;8,0;1;L;1;34;35;
12971;295/80R22.5;Mic;Xze 2+;11;7,0;1;L;1;34;;
12973;295/80R22.5;Mic;Xze2+;11;5,0;1;L;2;40;;
12975;295/80R22.5;Mic;Xde2+;11;12,0;1;L;2;40;2;
13239;295/80R22.5;Pir;Fg85;11;6,0;1;L;1;12;;
13252;295/80R22.5;Pir;Fr85;11;5,0;1;L;1;32;34;
13276;295/80R22.5;Pir;Fr85;11;6,0;1;L;1;26;;
13451;295/80R22.5;Pir;Fr85;11;1,0;1;L;2;32;34;
13718;295/80R22.5;Mic;Xze 2+;11;2,0;1;L;2;40;;
13918;295/80R22.5;Bri;M729;13;9,0;1;L;2;12;40;
13941;295/80R22.5;Pir;Fr85;12;7,0;1;L;1;34;2;
13960;295/80R22.5;Pir;Fr85;12;4,0;1;L;1;34;;
14000;295/80R22.5;Pir;Fr85;12;10,0;1;L;1;25;12;34
14195;295/80R22.5;Pir;Tr85;13;10,0;1;L;2;12;12;
14211;295/80R22.5;Pir;Fg85;12;3,0;1;T;1;40;;
14241;295/80R22.5;Pir;Fr85;12;3,0;1;T;1;2;;
14252;295/80R22.5;Pir;Fg85;12;3,0;1;T;1;26;;
14262;295/80R22.5;Pir;Fg85;12;7,0;1;L;1;35;;
14264;295/80R22.5;Pir;Fg85;12;8,0;1;L;1;2;;
14369;295/80R22.5;Pir;Fg85;12;2,0;1;L;1;12;;
14405;295/80R22.5;Pir;Fg85;12;10,0;1;L;1;34;2;
14423;295/80R22.5;Pir;Fg85;12;7,0;1;L;1;34;;
14432;295/80R22.5;Mic;Xde2+;13;10,0;1;L;1;34;;
14606;295/80R22.5;Pir;Fg85;13;10,0;1;L;2;34;;
14624;295/80R22.5;Pir;Fg85;13;4,0;1;T;1;25;12;
14670;295/80R22.5;Pir;Fr85;13;11,0;1;L;1;34;2;
14719;295/80R22.5;Pir;Fr85;13;7,0;1;L;1;12;;
14731;295/80R22.5;Pir;Fg85;13;5,0;1;L;1;12;;
14733;295/80R22.5;Pir;Fg85;13;7,0;1;L;1;34;;
14739;295/80R22.5;Pir;Fg85;13;8,0;1;T;1;34;;
14775;295/80R22.5;Pir;Fr85;13;10,0;1;L;2;32;34;
14777;295/80R22.5;Pir;Fr85;13;6,0;1;T;1;25;;
14780;295/80R22.5;Pir;Fg85;13;12,0;1;L;1;3;34;
14796;295/80R22.5;Pir;Fr85;13;6,0;1;L;1;32;;
14823;295/80R22.5;Pir;FR85;13;12,0;1;L;1;34;2;
